 Lease, Date Granted, Expenditure Commitment, Last Reported Expenditure, Year Ending
 E 15/1365, 29/07/2013," $10,000.00"," $6,169.00", 28/07/2016
 E 15/1366, B0/07/2013," $10,000.00"," $6,292.00", 29/07/2016
 E 15/1418, 17/12/2015," $20,000.00"," $6,773.00", 16/12/2016
 E 15/1456, 9/07/2015," $10,000.00"," $2,719.00", 8/07/2016
 M 15/130, 4/02/1985," $10,000.00"," $3,827.00", B/02/2017
 M 15/49, 15/02/1984," $26,000.00"," $26,658.00", 14/02/2017
 M 15/63, 4/01/1984," $10,600.00"," $14,222.00", B/01/2017
 ML 15/131, 1/01/1967," $12,000.00"," $14,356.00", B1/12/2016
 ML 15/140, 1/01/1967," $12,100.00"," $12,418.00", B1/12/2016
 ML 15/494, 1/01/1976," $12,000.00"," $8,650.00", B1/12/2016
 ML 15/495, 1/01/1976," $12,100.00"," $7,711.00", B1/12/2016
 ML 15/498, 1/01/1976," $12,100.00"," $12,563.00", B1/12/2016
 ML 15/499, 1/01/1976," $12,100.00"," $13,590.00", B1/12/2016
 ML 15/500, 1/01/1976," $12,100.00"," $14,459.00", B1/12/2016
 ML 15/501, 1/01/1976," $12,100.00"," $13,496.00", B1/12/2016
 ML 15/502, 1/01/1976," $12,100.00"," $16,476.00", B1/12/2016
 ML 15/504, 1/01/1976," $12,000.00"," $18,571.00", B1/12/2016
 ML 15/506, 1/01/1976," $10,000.00"," $17,790.00", B1/12/2016
 ML 15/507, 11/01/1976," $12,100.00"," $12,769.00", B1/12/2016
 ML 15/508, 1/01/1976," $12,000.00"," $12,930.00", B1/12/2016
 ML 15/509, 1/01/1976," $12,000.00"," $12,262.00", B1/12/2016
 ML 15/510, 1/01/1976," $12,100.00"," $12,605.00", B1/12/2016
 ML 15/511, 1/01/1976," $12,000.00"," $12,262.00", B1/12/2016
 ML 15/512, 1/01/1976," $12,000.00"," $12,263.00", B1/12/2016
 ML 15/513, 1/01/1976," $12,100.00"," $13,745.00", B1/12/2016
 ML 15/514, 1/01/1976," $12,000.00"," $12,479.00", B1/12/2016
 ML 15/515, 1/01/1976," $12,000.00"," $12,273.00", B1/12/2016
 ML 15/516, 1/01/1976," $12,000.00"," $12,638.00", B1/12/2016
 ML 15/517, 1/01/1976," $12,000.00"," $7,268.00", B1/12/2016
 ML 15/518, 1/01/1976," $12,000.00"," $8,266.00", B1/12/2016
 ML 15/519, 1/01/1976," $12,000.00"," $7,262.00", B1/12/2016
 ML 15/520, 1/01/1976," $12,000.00"," $8,051.00", B1/12/2016
 ML 15/521, 1/01/1976," $12,000.00"," $12,241.00", B1/12/2016
 ML 15/522, 1/01/1977," $12,000.00"," $12,263.00", B1/12/2016
 ML 15/523, 1/01/1976," $11,100.00"," $6,596.00", B1/12/2016
 ML 15/524, 1/01/1976," $12,000.00"," $12,264.00", B1/12/2016
 ML 15/525, 1/01/1976," $12,000.00"," $12,263.00", B1/12/2016
 ML 15/526, 1/01/1976," $11,900.00"," $9,180.00", B1/12/2016
 ML 15/527, 1/01/1976," $12,100.00"," $9,328.00", B1/12/2016
 ML 15/528, 1/01/1976," $12,000.00"," $8,266.00", B1/12/2016
 ML 15/529, 1/01/1976," $11,700.00"," $7,036.00", B1/12/2016
 ML 15/530, 11/01/1976," $11,700.00"," $9,027.00", B1/12/2016
 ML 15/531, 1/01/1976," $12,000.00"," $8,264.00", B1/12/2016
 ML 15/532, 1/01/1976," $11,800.00"," $7,099.00", B1/12/2016
 ML 15/533, 1/01/1976," $11,700.00"," $7,019.00", B1/12/2016
 ML 15/534, 1/01/1976," $11,900.00"," $7,167.00", B1/12/2016
 ML 15/535, 1/01/1976," $11,700.00"," $7,055.00", B1/12/2016
 P 15/5767, 18/07/2013," $5,080.00"," $5,490.00", 17/07/2016
 TOTALS, ," $578,280"," $514,371", 
