 ," Detection
Limit", Element," Detection
Limit", Element," Detection
Limit", Element," Detection
Limit"
 , 0.01, , 0.20, Na," 12

Yo", Sr, 0.20
 , 0.01%, Fe, 0.01%, Nb, 0.10, Ta, 0.05
 , 0.20, Ga, 0.05, , 0.20, Te, 0.05
 , 10.0, Ge, 0.05, , 10.0, , 0.01
 , 0.05, , 0.10, , 0.50, Ti, 0.005%
 , 0.01, , 0.005, , 0.10, , 0.02
 , 01%, , 01%, Re, 0.002, , 0.10
 , 0.02, La, 0.50, , 0.01%, , 1.00
 , 0.01, Li, 0.20, , 0.05, , 0.10
 , 0.10, Mg, 0.01%, Sc, 0.10, , 0.10
 , 1.00, , 5.00, Se, 1.00, Zn, 2.00
 , 0.05, , 0.05, Sn, 0.20, Zr, 0.50
 , 0.05, , 0.05, , 0.10, , 0.01
 , 0.03, Ho, 0.01, Pr, 0.03, Tm, 0.01
 , 0.03, Lu, 0.01, Sm, 0.03, , 0.03
