 Epoch, Year, Month, Day, Declination
 , 2000, , , 1.032
 , 2000, , , 1.040
 , 2001, , , 1.048
 , 2001, , , 1.056
 , 2002, , , 1.065
 , 2002, , , 1.073
 , 2003, , , 1.081
 , 2003, , , 1.089
 , 2004, , , 1.097
 , 2004, , , 1.105
 , 2005, , , 1.160
 , 2005, , , 1.158
 , 2006, , , 1.155
 , 2006, , , 1.152
 , 2007, , , 1.150
 , 2007, , , 1.147
 , 2008, , , 1.145
 , 2008, , , 1.142
 , 2009, , , 1.140
 , 2009, , , 1.137
 , 2010, , , 1.033
 , 2010, , , 1.029
 , 2011, , , 1.025
 , 2011, , , 1.021
 , 2012, , , 1.017
 , 2012, , , 1.014
 , 2013, , , 1.010
 , 2013, , , 1.006
 , 2014, , , 1.002
 , 2014, , , 0.999
 , 2015, , , 0.995
 , 2015, , , 0.991
