DMPBIBLIOGRAPHICDATASHEET,
Project Name:,St. Ives Gold Mine
Reporting Group:,C52/2002
Tenement:,M15/475
Tenement Operator:, St. lves Gold Mining Co. Pty Ltd
Tenement Holder:,St. Ives Gold Mining Co. Pty Ltd
Report Type:,Final
Report Title:,"Goldfields, Final Report, Exploration Incentive Scheme, 2015 Co-Funding."
"Athena intrusion, DAG2015/00511069",
Report Period:,1 January 2015 - 31 December 2015
Author:,David Nixon
Date of Report:,"1th June, 2017"
1:250 000 Mapsheet: Widgiemooltha SH 51-14,
1:100 000 Mapsheet: Lake Lefroy 3235,
Target Commodity:,Au
Keywords:,"Geology, Exploration, Drilling, ElS, Athena"
Prospects Drilled:,Athena Intrusion Strain Shadow
Elements Assayed:,"Au, Ag, As, Ba, Be, Bi, Ca, Cd, Ce, Co, Cr, Cs, Cu, Fe, Ga, Ge, Hf, In, K, La, Li"
"Mg, Mn, Mo, Na, Nb, Ni, P, Al, Pb, Re, Rb, Sb, Sc, Se, Sn, Sr, Ta, Te, Th, Ti, Tl,",
"U, V, W, Y, Zn, Zr",
