 | Exploration Work Type, | File Name, | Format
 | Literature search, , 
 | Database compilation, , 
 | Computer modelling, , 
 | Reprocessing of data, , 
 | General Research, , 
 | Report Preparation, | 2015 Athena SIGM Final DAG2015 00511069.pdf, PDF
 | Aeromagnetics, , 
 | Radiometrics, , 
 | Electromagnetics, , 
 | Gravity, , 
 | Digital terrain modelling, , 
 | Aerial photography, , 
 | LANDSAT, , 
 , , 
 | MSS, , 
 | Radar, , 
 | Geological Mapping, , 
 | Regional, , 
 | Reconnaissance, , 
 | Prospect, , 
 | Underground, , 
 | Costean, , 
 | Radiometrics, , 
 | Magnetics, , 
 | Gravity, , 
 | Digital terrain modelling, , 
 | Electromagnetics, , 
 | SP/AP/EP, , 
 | IP, , 
 | AMT, , 
 | Resistivity, , 
 | Complex resistivity, , 
 | Seismic reflection, , 
 | Seismic refraction, , 
 | Well logging, , 
 | Geophysical interpretation, , 
 | Drill sample, , 
 | Stream sediment, , 
 | Soil, , 
 | Rock chip, , 
 | Laterite, , 
 | Water, , 
 | Biogeochemistry, , 
 | Isotope, , 
 | Whole Rock, , 
 | Mineral analysis, , 
 Diamond," TD12952_ WASL4 COLL2015.csv
TD12952 WADL4 GEO2015.csv
TD12952 WADL4 ALT2015.csv
TD12952_WADS4_SURV_2015.csv
TD12952 WADG4_ASS2015.csv
TD12952 WADG4 AU2015.csv
TD12952_=structure_Final.csv
TD12952_magsus_Final.csv", TXT
 | Reverse Circulation, , 
 | Rotary air blast, , 
 | Air-core, , 
 | Auger, , 
 | Groundwater Drilling, , 
 | All Drilling, , 
