 EXPLORATION WORK TYPE, FORMAT
 Literature search, 
 | Database compilation, 
 Computer modelling, 
 Reprocessing of data, 
 General research, 
 Report preparation, pdf
 Data review, 
 Resource Modelling, 
 Aeromagnetics, 
 | Radiometrics, 
 | Electromagnetics, 
 Gravity, 
 | Digital terrain modelling, 
 | Other (specify), 
 | Aerial photography, 
 LANDSAT, 
 SPOT, 
 MSS, 
 | Radar, 
 | Other (specify), 
 Regional, 
 Reconnaissance, 
 Prospect, 
 | Underground, 
 Costean, 
 | Radiometrics, 
 Magnetics, 
 Gravity, 
 | Digital terrain modelling, 
 | Electromagnetics, 
 | SP/AP/EP, 
 IP, 
 AMT, 
