 Project, Hole ID, From (m), Length (m), Au (ppm), GM
 Lefroy West, KD81318, , , 0.92, 5.54
 Lefroy West, KD81533, , , 2.70, 10.78
 Lefroy West, KD81533, , , 1.95, 115.60
 Lefroy West, KD81534, , 18, 0.17, B.13
 Lefroy West, KD81785, 16, , 0.41, B.26
 Lefroy West, KD81790, , , 0.33, 2.97
 Lefroy West, SAL1319, , 2, 1.98, B.96
 Lefroy West, SAL1486, , , 0.57, 2.26
 Lefroy West, SAL1519, 78, , 2.05, 12.32
 Lefroy West, SAL1763, 78, 42, 0.23, 2.81
 Lefroy West, SAL1764, , 10, B.24, B2.40
 Lefroy West, SAL1777, 78, 7, 1.45, 10.15
 Lefroy West, SAL1777, 1106, i, 2.25, 2.25
 Lefroy West, SAL1789, 197, , 2.28, 2.28
 Lefroy West, SAL1791, 129.7, 5.3, 1.4, 7.42
