" From

(m)", , Interval
 , B14.8, B14.8
 B14.8, B50, B5.2
 B50, 453.5, 103.5
 453.5, 472.3, 18.8
 472.3, 516.9, 
 516.9, 577.8, 60.9
 577.8, 622.7, 
 622.7, 686, 63.3
 686, 696.8, 10.8
 696.8, 759, 62.2
 759, 828.3, 69.3
 828.3, 870.8, 42.5
 870.8, 886.2, 415.4
 886.2, 889.15, 2.95
 889.15, 927.4, B8.25
 927.4, 984.2, 51
 984.2, 1024.9, 46.5
 1024.9, 1030.3, 5.4
 1030.3, 1063.8, B3.5
 1063.8, 1069.5, 5.7
 1069.5, 1089, 19.5
 1089, 1094.9, 5.9
 1094.9, 1108.5, 13.6
 1108.5, 1114.41, 5.91
 1114.41, 1132.3, 17.89
 1132.3, 1141.75, 9.45
 1141.75, 1219.8, 78.05
 1219.8, 1222.5, 2.7
 1222.5, 1529.1, 297.5
