Grant,Expiry,Expenditure,Area Size,Area Size,,
Tenement,Holder,,,,,
Date,Date,($),(KM2),(BLK),,
E 15/1365,29/07/201328/07/2018MINCOR RESOURCES NL,10000,2.8,1,,
E 15/1366,30/07/2013,29/07/2018,MINCORRESOURCESNL,10000,2.8,1
M 15/49,05/02/1984,14/02/2026,MINCOR RESOURCESNL,26000,2.59,0
M 15/63,13/12/198303/01/2026,MINCOR RESOURCESNL,10600,1.05,0,
M 15/130,06/01/198503/02/2027,MINCOR RESOURCES NL,10000,0.29,0,
GOLDFIELDS MINE MANAGEMENT PTY,,,,,,
ML 15/131,12/01/1967,31/12/2029,12000,1.2,0,
LTD,,,,,,
GOLDFIELDSMINEMANAGEMENTPTY,,,,,,
ML 15/140,12/01/1967,31/12/2029,12100,1.2,0,
LTD,,,,,,
ML 15/494,01/01/1976|31/12/2017,MINCOR RESOURCES NL,12000,1.2,0,
ML 15/495,01/01/1976|31/12/2017,MINCOR RESOURCESNL,12100,1.2,0,
ML 15/498,01/01/1976|31/12/2017,MINCOR RESOURCES NL,12100,1.2,0,
ML 15/499,01/01/1976,131/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML 15/500,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML 15/501,01/01/1976,[31/12/2017,MINCORRESOURCESNL,12100,1.2,10
ML 15/502,01/01/197631/12/2017,MINCOR RESOURCES NL,12100,1.2,0,
ML 15/504,01/01/1976|31/12/2017,MINCOR RESOURCESNL,12000,1.2,0,
ML 15/506,01/01/1976|31/12/2017,MINCOR RESOURCES NL,10000,0.83,0,
ML 15/507,01/01/197631/12/2017,MINCOR RESOURCES NL,12100,1.2,0,
ML 15/508,01/01/197631/12/2017,MINCOR RESOURCES NL,12000,1.2,0,
ML 15/509,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML 15/510,01/01/1976,[31/12/2017,MINCOR RESOURCES NL,12100,1.2,0
ML 15/511,01/01/197631/12/2017,MINCOR RESOURCES NL,12000,1.2,0,
ML 15/512,01/01/1976,31/12/2017,MINCOR RESOURCES NL,12000,1.2,0
ML 15/513,01/01/1976,31/12/2017,MINCOR RESOURCES NL,12100,1.2,0
ML 15/514,01/01/197631/12/2017,MINCOR RESOURCES NL,12000,1.2,10,
ML 15/515,01/01/1976|31/12/2017,MINCOR RESOURCES NL,12000,1.2,0,
ML 15/516,01/01/1976,131/12/2017,MINCOR RESOURCESNL,12000,1.2,0
ML 15/517,01/01/1976,131/12/2017,MINCOR RESOURCESNL,12000,1.2,0
ML 15/518,01/01/1976,31/12/2017,MINCOR RESOURCES NL,12000,1.2,0
ML 15/519,[01/01/197631/12/2017,MINCOR RESOURCES NL,12000,1.2,0,
ML 15/520,[01/01/197631/12/2017,MINCOR RESOURCES NL,12000,1.2,0,
ML 15/521,01/01/1976|31/12/2017,MINCOR RESOURCES NL,12000,1.2,0,
ML 15/522,01/01/1977,31/12/2018,MINCOR RESOURCESNL,12000,1.2,0
ML 15/523,[01/01/1976,31/12/2017,MINCOR RESOURCES NL,11100,1.11,0
ML 15/524,01/01/1976,131/12/2017,MINCOR RESOURCESNL,12000,1.2,0
ML 15/525,01/01/1976,131/12/2017,MINCOR RESOURCES NL,12000,1.2,0
ML 15/526,[01/01/197631/12/2017,MINCOR RESOURCES NL,11900,1.19,0,
ML 15/527,01/01/1976,31/12/2017,MINCOR RESOURCES NL,12100,1.2,0
ML 15/528,01/01/1976,31/12/2017,MINCOR RESOURCES NL,12000,1.2,0
ML 15/529,01/01/1976|31/12/2017,MINCOR RESOURCES NL,11700,1.17,0,
ML 15/530,01/01/1976|31/12/2017,MINCOR RESOURCESNL,11700,1.17,0,
ML 15/531,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML 15/532,01/01/1976,31/12/2017,MINCORRESOURCESNL,11800,1.17,0
ML15/533,01/01/197631/12/2017,MINCOR RESOURCES NL,11700,1.17,0,
ML 15/534,01/01/197631/12/2017,MINCOR RESOURCES NL,11900,1.18,0,
ML15/535,01/01/1976|31/12/2017,MINCOR RESOURCES NL,11700,1.17,0,
P15/5767,18/07/2013|17/07/2017,MINCOR RESOURCES NL,5080,1.27,0,
E 15/1456,09/07/201508/07/2020,MINCOR RESOURCES NL,10000,2.8,1,
E 15/1418,317/12/201516/12/2020MINCOR RESOURCES NL,20000,47.6,17,,
