Area,,,,,,
Area,,,,,,
Tenement,Lease Name,GrantDate,Expiry Date,(Blocks,Holder,
(km2),,,,,,
P,Hall Creek,6/09/201,5/09/202,NewmontExplorationPtyLtd,,
0,1.17,,,,,
15/6009,Dam,6,0,(100%),,
P 26/4158,Hall Creek Dam,4/10/2016,3/10/2020,0,1.96,Newmont Exploration Pty Ltd (100%)
P 26/4159,Hall Creek Dam,4/10/2016,3/10/2020,0,1.93,Newmont Exploration Pty Ltd (100%)
P 26/4160,Hall Creek Dam,4/10/2016,3/10/2020,0,1.92,NewmontExplorationPtyLtd（1o0%)
P 26/4161,Hall Creek Dam,4/10/2016,3/10/2020,0,1.93,Newmont Exploration Pty Ltd (100%)
P 26/4162,Hall Creek Dam,4/10/2016,3/10/2020,0,1.96,Newmont Exploration Pty Ltd (100%)
P 26/4163,Hall Creek Dam,4/10/2016,3/10/2020,0,1.94,Newmont Exploration Pty Ltd (100%)
P 26/4164,Hall Creek Dam,4/10/2016,3/10/2020,0,1.52,Newmont Exploration Pty Ltd (100%)
P26/4165,Hall CreekDam,4/10/2016,3/10/2020,0,1.65,Newmont Exploration Pty Ltd (100%)
E 15/1508,Hall CreekDam,19/12/2016,18/12/2021,4,5.88,Newmont Exploration Pty Ltd (100%)
