Hole name,From,To,Metres,Au g/t
G50-22-002E,249.97,250.97,1.00,4.04
G50-22-002E,312.50,316.30,3.80,3.63
G50-22-002E,319.75,323.27,3.52,4.76
G50-22-003E,140.97,142.00,1.03,7.59
G50-22-003E,226.55,229.00,2.45,2.69
G50-22-003E,262.70,263.70,1.00,3.48
G50-22-004E,92.30,94.20,1.90,2.52
G50-22-004E,99.00,100.00,1.00,8.52
G50-22-004E,250.85,261.47,10.62,2.96
G50-22-004E,288.00,291.80,3.80,2.32
G50-22-005E,3.00,6.00,3.00,2.56
G50-22-005E,41.00,42.00,1.00,4.14
G50-22-005E,76.00,77.00,1.00,4.48
G50-22-005E,194.50,196.00,1.50,10.73
G50-22-005E,216.04,218.90,2.86,2.58
