Resistivity,,
Complex resistivity,,
Seismic reflection,,
Well logging,,
Geophysical interpretation,,
Other (specify),,
Geochemical Surveying,,
Drill sample,,
Stream sediment,,
Soil,,
Rock chip (in pit),,
Laterite,,
Water,,
Biochemistry,,
Isotope,,
Whole rock,,
Mineral analysis,,
Other (specify),,
Drilling,,
Diamond,BH_WADL4_GEO2021.txt,txt
BH_WASL4_COLL2021.txt,txt,
BH WADS4 SURV2021.txt,txt,
BH_WADL4_ORI2021.txt,txt,
BH_WADG4_ASS2021.txt,txt,
Reverse circulation,,
Rotary air blast,,
Air core,,
Auger,,
Groundwater drilling,,
All drilling,,
Geological Drill LogCodes,BH_logging codes.xlsx,xlsx
