Previous Exploration Activities,,,
A Number,Year,Company,Description of activities
89RAB,,,
027201,1987-1988,Aztec Mining Company,
10 RC holes,,,
029855,1989,Aztec Mining Company,79 RAB holes
32 RABholes,,,
033021,1990,Aztec Mining Company,
5 RC holes,,,
035280,1991,Aztec Mining Company,34 RAB holes
43335,1994,Sovereign Resources,64 RAB holes
46800,1995,Sovereign Resources,149 RAB holes
51953,1996-1997,Australian Gold Resources,43 RAB holes
54172,1997,WMC Resources,3 diamond holes
65747,1994-2002,GoldfieldsAustralasia,51 air core holes
97166,2012,St Ives Gold Mining Co Pty Ltd,88 air core holes
?,?,53 RAB holes,
?,?,?,67 air core holes
