And,"JSR1139, 1142, 1204, 1206, 1212 1216","JSR1139, 1142, 1204, 1206, 1212,1216","Ag, Ni, Cu"
Acac ia,JSA001-040,"JSA001-010, JSA032-040",Au
Inclu ding,JSA032-037,JSA032-037,"Cu, Cr, Ni, Pb, Zn"
Acac ia,JSR1256-1341,"JSR1256-1299, JSR1330-1338",Au
Inclu ding,"JSR1259, 1264, 1268, 1270, 1275, 1280, 1290, 1291","JSR1259, 1264, 1268, 1270, 1275,1280, 1290,1291","Cu, Ni"
Acac ia,JSA041-055,JSA048-055,Au
WM (),"DHD696, TD2848",DHD696,Au
WM （),"OHD729-734, 738- 740, 772-779, 782- 800","DHD732-734, DHD740, OHD772-779, DHD782-788, DHD800",Au
Siou ville,JSRC001-026,JSRC011-26,Au
Siou ville,JSR1342-1599,JSR1392-1599,"Au, Cu, Pb, Zn, Ni, Co, As, Ag"
Acac ia,JSR1600-1667,"JSR1600-1603, JSR1634-1667",Au
Acac ia,JSD001,JSD001,"Au, As, Cu, Ni, Pb, Zn"
0,0,0,0
