Lease,Date Granted,ExpenditureCommitment,LastReportedExpenditure,Year Ending
E 15/1365,29/07/2013,"$10,000.00","$6,169.00",28/07/2016
E 15/1366,30/07/2013,"$10,000.00","$6,292.00",29/07/2016
E 15/1418,17/12/2015,"$20,000.00","$6,773.00",16/12/2016
E 15/1456,9/07/2015,"$10,000.00","$2,719.00",8/07/2016
M15/130,4/02/1985,"$10,000.00","$3,827.00",3/02/2017
M15/49,15/02/1984,"$26,000.00","$26,658.00",14/02/2017
M15/63,4/01/1984,"$10,600.00","$14,222.00",3/01/2017
ML15/131,1/01/1967,"$12,000.00","$14,356.00",31/12/2016
ML15/140,1/01/1967,"$12,100.00","$12,418.00",31/12/2016
ML15/494,1/01/1976,"$12,000.00","$8,650.00",31/12/2016
ML15/495,1/01/1976,"$12,100.00","$7,711.00",31/12/2016
ML15/498,1/01/1976,"$12,100.00","$12,563.00",31/12/2016
ML15/499,1/01/1976,"$12,100.00","$13,590.00",31/12/2016
ML15/500,1/01/1976,"$12,100.00","$14,459.00",31/12/2016
ML15/501,1/01/1976,"$12,100.00","$13,496.00",31/12/2016
ML15/502,1/01/1976,"$12,100.00","$16,476.00",31/12/2016
ML 15/504,1/01/1976,"$12,000.00","$18,571.00",31/12/2016
ML15/506,1/01/1976,"$10,000.00","$17,790.00",31/12/2016
ML15/507,1/01/1976,"$12,100.00","$12,769.00",31/12/2016
ML15/508,1/01/1976,"$12,000.00","$12,930.00",31/12/2016
ML15/509,1/01/1976,"$12,000.00","$12,262.00",31/12/2016
ML15/510,1/01/1976,"$12,100.00","$12,605.00",31/12/2016
ML15/511,1/01/1976,"$12,000.00","$12,262.00",31/12/2016
ML15/512,1/01/1976,"$12,000.00","$12,263.00",31/12/2016
ML15/513,1/01/1976,"$12,100.00","$13,745.00",31/12/2016
ML 15/514,1/01/1976,"$12,000.00","$12,479.00",31/12/2016
ML15/515,1/01/1976,"$12,000.00","$12,273.00",31/12/2016
ML15/516,1/01/1976,"$12,000.00","$12,638.00",31/12/2016
ML15/517,1/01/1976,"$12,000.00","$7,268.00",31/12/2016
ML15/518,1/01/1976,"$12,000.00","$8,266.00",31/12/2016
ML15/519,1/01/1976,"$12,000.00","$7,262.00",31/12/2016
ML15/520,1/01/1976,"$12,000.00","$8,051.00",31/12/2016
ML15/521,1/01/1976,"$12,000.00","$12,241.00",31/12/2016
ML15/522,1/01/1977,"$12,000.00","$12,263.00",31/12/2016
ML15/523,1/01/1976,"$11,100.00","$6,596.00",31/12/2016
ML15/524,1/01/1976,"$12,000.00","$12,264.00",31/12/2016
ML15/525,1/01/1976,"$12,000.00","$12,263.00",31/12/2016
ML15/526,1/01/1976,"$11,900.00","$9,180.00",31/12/2016
ML15/527,1/01/1976,"$12,100.00","$9,328.00",31/12/2016
ML15/528,1/01/1976,"$12,000.00","$8,266.00",31/12/2016
ML15/529,1/01/1976,"$11,700.00","$7,036.00",31/12/2016
ML15/530,1/01/1976,"$11,700.00","$9,027.00",31/12/2016
ML15/531,1/01/1976,"$12,000.00","$8,264.00",31/12/2016
ML15/532,1/01/1976,"$11,800.00","$7,099.00",31/12/2016
ML15/533,1/01/1976,"$11,700.00","$7,019.00",31/12/2016
ML15/534,1/01/1976,"$11,900.00","$7,167.00",31/12/2016
ML15/535,1/01/1976,"$11,700.00","$7,055.00",31/12/2016
P15/5767,18/07/2013,"$5,080.00","$5,490.00",17/07/2016
TOTALS,0,"$578,280","$514,371",0
