Tenement,Grant Date,Expiry Date,Holder,Expenditure ($),AreaSize (KM2),AreaSize (BLK)
E15/1365,29/07/2013,28/07/2018,MINCORRESOURCESNL,10000,2.8,1
E15/1366,30/07/2013,29/07/2018,MINCORRESOURCESNL,10000,2.8,1
M15/49,05/02/1984,14/02/2026,MINCORRESOURCESNL,26000,2.59,0
M15/63,13/12/1983,03/01/2026,MINCORRESOURCESNL,10600,1.05,0
M15/130,06/01/1985,03/02/2027,MINCORRESOURCESNL,10000,0.29,0
ML 15/131,12/01/1967,31/12/2029,GOLDFIELDSMINEMANAGEMENTPIY LTD,12000,1.2,0
ML15/140,12/01/1967,31/12/2029,GOLDEIELDSMINEMANAGEMENTPIY LTD,12100,1.2,0
ML15/494,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/495,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML15/498,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML15/499,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML15/500,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML15/501,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML15/502,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML15/504,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/506,01/01/1976,31/12/2017,MINCORRESOURCESNL,10000,0.83,0
ML15/507,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML15/508,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/509,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/510,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML15/511,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/512,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/513,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML15/514,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/515,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/516,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/517,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/518,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/519,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/520,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/521,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/522,01/01/1977,31/12/2018,MINCORRESOURCESNL,12000,1.2,0
ML15/523,01/01/1976,31/12/2017,MINCORRESOURCESNL,11100,1.11,0
ML15/524,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/525,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/526,01/01/1976,31/12/2017,MINCORRESOURCESNL,11900,1.19,0
ML15/527,01/01/1976,31/12/2017,MINCORRESOURCESNL,12100,1.2,0
ML15/528,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/529,01/01/1976,31/12/2017,MINCORRESOURCESNL,11700,1.17,0
ML15/530,01/01/1976,31/12/2017,MINCORRESOURCESNL,11700,1.17,0
ML15/531,01/01/1976,31/12/2017,MINCORRESOURCESNL,12000,1.2,0
ML15/532,01/01/1976,31/12/2017,MINCORRESOURCESNL,11800,1.17,0
ML15/533,01/01/1976,31/12/2017,MINCORRESOURCESNL,11700,1.17,0
ML15/534,01/01/1976,31/12/2017,MINCORRESOURCESNL,11900,1.18,0
ML15/535,01/01/1976,31/12/2017,MINCORRESOURCESNL,11700,1.17,0
P15/5767,18/07/2013,17/07/2017,MINCORRESOURCESNL,5080,1.27,0
E 15/1456,09/07/2015,08/07/2020,MINCORRESOURCESNL,10000,2.8,1
E 15/1418,17/12/2015,16/12/2020,MINCORRESOURCESNL,20000,47.6,17
0,0,0,0,0,0,0
