Tenement,LeaseName,GrantDate,ExpiryDate,Area (Blocks,Area (km2),Holder
15/6009,Hall Creek Dam,6/09/201 6,5/09/202 0,0,1.17,Newmont Exploration Pty Ltd (100%)
P26/4158,Hall CreekDam,4/10/2016,3/10/2020,0,1.96,NewmontExplorationPty Ltd(1o0%)
P26/4159,HallCreekDam,4/10/2016,3/10/2020,0,1.93,NewmontExplorationPtyLtd(1o0%)
P26/4160,HallCreekDam,4/10/2016,3/10/2020,0,1.92,NewmontExplorationPtyLtd（1o0%)
P26/4161,HallCreekDam,4/10/2016,3/10/2020,0,1.93,NewmontExplorationPty Ltd(1o0%)
P26/4162,HallCreekDam,4/10/2016,3/10/2020,0,1.96,NewmontExplorationPtyLtd(1o0%)
P26/4163,HallCreekDam,4/10/2016,3/10/2020,0,1.94,NewmontExplorationPtyLtd（1o0%)
P 26/4164,Hall CreekDam,4/10/2016,3/10/2020,0,1.52,NewmontExplorationPty Ltd(1o0%)
P26/4165,Hall CreekDam,4/10/2016,3/10/2020,0,1.65,NewmontExplorationPtyLtd(1o0%)
E 15/1508,HallCreekDam,19/12/2016,18/12/2021,4,5.88,NewmontExplorationPtyLtd（1o0%)
0,0,0,0,0,0,0
