EXPLORATIONWORKTYPE,FILE NAME,FORMAT
Office Studies,,
Literature search,0,0
Database compilation,0,0
Computer modelling,0,0
Reprocessing of data,0,0
Generalresearch,0,0
Reportpreparation,"Co-Funded Drilling Final Report, Beta Hunt southern offset extension, June 2021.pdf",pdf
Data review,0,0
Resource Modelling,0,0
Airborne Exploration Surveys,,
Aeromagnetics,0,0
Radiometrics,0,0
Electromagnetics,0,0
Gravity,0,0
Digital terrain modelling,0,0
Other (specify),0,0
Remote Sensing,,
Aerial photography,0,0
LANDSAT,0,0
SPOT,0,0
MSS,0,0
Radar,0,0
Other (specify),0,0
Ground Exploration Surveys,,
Geological mapping,,
Regional,0,0
Reconnaissance,0,0
Prospect,0,0
Underground,0,0
Costean,0,0
Ground geophysics,,
Radiometrics,0,0
Magnetics,0,0
Gravity,0,0
Digital terrain modelling,0,0
Electromagnetics,0,0
SP/AP/EP,0,0
IP,0,0
AMT,0,0
0,0,0
