Project,HoleID,From (m),Length (m),Au (ppm),GM
LefroyWest,KD81318,80,6,0.92,5.54
Lefroy West,KD81533,84,4,2.70,10.78
LefroyWest,KD81533,94,8,1.95,15.60
LefroyWest,KD81534,80,18,0.17,3.13
Lefroy West,KD81785,16,8,0.41,3.26
Lefroy West,KD81790,82,9,0.33,2.97
Lefroy West,SAL1319,0,2,1.98,3.96
Lefroy West,SAL1486,90,4,0.57,2.26
Lefroy West,SAL1519,78,6,2.05,12.32
Lefroy West,SAL1763,78,12,0.23,2.81
Lefroy West,SAL1764,95,10,3.24,32.40
Lefroy West,SAL1777,78,0,1.45,10.15
Lefroy West,SAL1777,106,11,2.25,2.25
Lefroy West,SAL1789,197,0,2.28,2.28
Lefroy West,SAL1791,129.7,5.3,1.4,7.42
0,0,0,0,0,0
