From (m),To (m),Interval,Description
0,314.8,314.8,Medium grained to dolerite
314.8,350,35.2,0
350,453.5,103.5,atchy.variolitic(?)basalt
453.5,472.3,18.8,Mediumaraineddoleritewith clastsofsedimentfrom468to472.3m
472.3,516.9,44.6,Sediment
516.9,577.8,60.9,"d basalt, massive"
577.8,622.7,44.9,Sediment /- basalt
622.7,686,63.3,d basalt - variolitic
686,696.8,10.8,Medium grained dolerite
696.8,759,62.2,massive/-variolitic
759,828.3,69.3,Bladedmedium rained(Dolerite?)
828.3,870.8,42.5,Mediun
870.8,886.2,15.4,ultramafic(textureless
886.2,889.15,2.95,Fine grained massive
889.15,927.4,38.25,0
927.4,984.2,51,ultramafic(textureless
984.2,1024.9,46.5,Basalt
1024.9,1030.3,5.4,Sediment /- basalt
1030.3,1063.8,33.5,0
1063.8,1069.5,5.7,ntermediate
1069.5,1089,19.5,Homogenous green medium grained dolerite(?). Fine green amphibole needles with qtz- olagioclaseinterstices.
1089,1094.9,5.9,Intermediate intrusive
1094.9,1108.5,13.6,Basalt
1108.5,1114.41,5.91,0
1114.41,1132.3,17.89,0
1132.3,1141.75,9.45,Tntermediatei intrusive
1141.75,1219.8,78.05,dominant ultramafic
1219.8,1222.5,2.7,0
1222.5,1529.1,297.5,Talc-magnesite ultramafic
