Downhole Interval (m),StratigraphicUnit,SummarydetailsofChemStratClassification
0 -472.3,ParingaBasalt,LowerParingaBasalt
472.3-516.9,KapaiSlate,Interflowsedimenttowardthebaseofthe ParingaBasalt
516.9 - 577.8,ParingaBasalt,UpperParingaBasalt/DefianceDolerite
577.8 -622.7,KapaiSlate,<apaiSlateandassociatedsignificantshear zone
Significant shear zone from approximately 604.0 to622.0m,0,
622.7-759,DevonConsolsBasalt,DevonConsolsBasalt±AthenaBasaltand DefianceDolerite
759 -828.3,DevonConsolsBasalt doleriticmember),PlotsasAthenaBasaltbutlikelyahighTiend memberoftheDevonConsolsBasalttrend.
828.3-870.8,DeyonConsolsBasalt,DevonConsolsBasalt±AthenaBasalt
870.8 - 984.2,VictoryDolerite,Ultramafic(non-magnetic
Significantshearzonefromapproximately974.1 to984.2m,0,
984.2-1141.75,LunnonBasalt,LunnonBasalt±IntrusivesandUltramafics
Foliatedtoshearedintrusivewithsheared contactwithultramafic from1132.3 to 1142.4m,0,
1141.75-1529.1,KambaldaKomatite,Ultramafics (magnetic
