Index,File Number,Page,Tables
1,135347,1,0
1,135347,2,0
1,135347,3,0
1,135347,4,0
1,135347,5,1
1,135347,6,0
1,135347,7,0
1,135347,8,1
1,135347,9,0
1,135347,10,0
1,135347,11,0
1,135347,12,0
1,135347,13,0
1,135347,14,0
1,135347,15,0
1,135347,16,0
1,135347,17,0
1,135347,18,0
2,134934,1,0
2,134934,2,0
2,134934,3,0
2,134934,4,2
2,134934,5,0
2,134934,6,0
2,134934,7,1
2,134934,8,0
2,134934,9,0
2,134934,10,0
2,134934,11,1
2,134934,12,1
2,134934,13,1
2,134934,14,0
2,134934,15,0
2,134934,16,0
3,132577,1,0
3,132577,2,0
3,132577,3,0
3,132577,4,0
3,132577,5,1
3,132577,6,1
3,132577,7,0
3,132577,8,0
3,132577,9,0
3,132577,10,0
3,132577,11,0
3,132577,12,0
3,132577,13,1
3,132577,14,0
3,132577,15,0
3,132577,16,0
4,132302,1,0
4,132302,2,0
4,132302,3,0
4,132302,4,0
4,132302,5,1
4,132302,6,0
4,132302,7,0
4,132302,8,0
4,132302,9,0
4,132302,10,1
4,132302,11,0
4,132302,12,0
4,132302,13,0
4,132302,14,0
4,132302,15,0
4,132302,16,0
4,132302,17,0
4,132302,18,0
4,132302,19,0
4,132302,20,0
4,132302,21,1
4,132302,22,2
4,132302,23,0
4,132302,24,0
4,132302,25,0
4,132302,26,0
4,132302,27,1
4,132302,28,2
4,132302,29,1
4,132302,30,0
4,132302,31,2
4,132302,32,1
4,132302,33,1
4,132302,34,0
4,132302,35,0
4,132302,36,0
4,132302,37,0
4,132302,38,0
4,132302,39,0
4,132302,40,0
4,132302,41,0
4,132302,42,0
4,132302,43,0
4,132302,44,0
4,132302,45,0
4,132302,46,0
4,132302,47,0
4,132302,48,0
4,132302,49,0
4,132302,50,0
4,132302,51,0
4,132302,52,0
4,132302,53,0
5,132241,1,0
5,132241,2,0
5,132241,3,0
5,132241,4,3
5,132241,5,0
5,132241,6,0
5,132241,7,2
5,132241,8,0
5,132241,9,0
5,132241,10,1
5,132241,11,0
5,132241,12,0
5,132241,13,1
5,132241,14,0
5,132241,15,0
5,132241,16,0
5,132241,17,0
5,132241,18,0
5,132241,19,0
5,132241,20,1
5,132241,21,1
5,132241,22,2
5,132241,23,0
5,132241,24,0
5,132241,25,0
5,132241,26,0
5,132241,27,0
6,130135,1,0
6,130135,2,0
6,130135,3,0
6,130135,4,1
6,130135,5,1
6,130135,6,0
6,130135,7,0
6,130135,8,0
6,130135,9,0
6,130135,10,0
6,130135,11,0
6,130135,12,1
