Hole_Id,mFrom,mTo,InterceptDescription,Grid_ID,x,y,z
EBNGC_365_001,16,18,2m @ 2.93 ppm,MGA94_51,350352.73,6567514.67,350.45
EBNGC_365_002,10,21,11m @ 5.11 ppm,MGA94_51,350334.24,6567509.98,351.89
EBNGC_365_002,25,30,5m @ 2.17 ppm,MGA94_51,350340.27,6567509.84,341.53
EBNGC_365_003,25,26,1m @ 5.03 ppm,MGA94_51,350349.97,6567509.18,343.23
EBNGC_365_008,0,2,2m @ 1.23 ppm,MGA94_51,350325.86,6567495.05,364.37
EBNGC_365_008,11,29,18m @ 2.80 ppm,MGA94_51,350335.45,6567495.31,347.97
EBNGC_365_010,50,54,4m @ 3.59 ppm,MGA94_51,350351.52,6567495.49,320.30
EBNGC_365_010,15,20,5m @ 3.82 ppm,MGA94_51,350362.41,6567484.21,350.01
EBNGC_365_011,30,41,11m @ 3.60 ppm,MGA94_51,350353.36,6567483.76,334.46
EBNGC_365_012,24,37,13m @ 1.90 ppm,MGA94_51,350352.32,6567479.38,339.38
EBNGC_365_013,26,28,2m @ 7.63 ppm,MGA94_51,350353.54,6567468.81,342.29
EBNGC_365_013,15,18,3m @ 3.37 ppm,MGA94_51,350347.85,6567465.19,351.14
EBNGC_365_013,20,24,4m @ 2.89 ppm,MGA94_51,350350.82,6567465.20,346.51
EBNGC_365_013,32,36,4m @ 2.64 ppm,MGA94_51,350357.33,6567465.54,336.44
EBNGC_365_014,17,30,13m @ 2.90 ppm,MGA94_51,350351.14,6567460.11,344.73
EBNGC_365_015,16,18,2m @ 6.09 ppm,MGA94_51,350355.10,6567460.13,350.48
EBNGC_365_015,20,23,3m @ 4.26 ppm,MGA94_51,350352.72,6567460.14,346.66
EBNGC_365_015,25,30,5m @ 2.17 ppm,MGA94_51,350349.57,6567460.15,341.56
EBSRC129,44,49,5m @ 1.02 ppm,MGA94_51,350371.47,6567431.54,341.49
EBSRC129,66,77,11m @ 0.68 ppm,MGA94_51,350359.21,6567432.63,319.73
EBSRC130,52,64,12m @ 2.20 ppm,MGA94_51,350356.92,6567441.24,331.42
EBSRC132,65,79,14m @ 0.84 ppm,MGA94_51,350355.51,6567459.25,318.69
EBSRC133,68,74,6m @ 1.79 ppm,MGA94_51,350356.68,6567471.83,320.58
EBSRC134,64,78,14m @ 1.24 ppm,MGA94_51,350356.82,6567481.88,320.02
EBSRC135,34,42,8m @ 2.12 ppm,MGA94_51,350356.89,6567491.75,348.41
EBSRC135,44,58,14m @ 2.04 ppm,MGA94_51,350352.28,6567492.55,337.24
EBSRC136,64,72,8m @ 1.36 ppm,MGA94_51,350358.37,6567492.72,322.55
