Tenement,Holder,Area (ha),Grant Date
E 15/985,Dioro Exploration NL,39 blocks,2/07/2009
E15/1211,Dioro Exploration NL,17 blocks,7/02/2011
E26/122,HBJ Minerals Pty Ltd,10 blocks,31/01/2008
E26/148,HBJ Minerals Pty Ltd,11 blocks,17/05/2011
M15/456,Dioro Exploration NL,433.25,3/08/1990
M 15/469,Dioro Exploration NL,900.8,28/11/1989
M 15/533,Dioro Exploration NL,50,21/09/1990
M 15/663,Dioro Exploration NL,598,8/06/1993
M 15/717,HBJ Minerals Pty Ltd,980.6,19/09/1994
M 15/721,Dioro Exploration NL,994,19/09/1994
M 15/722,Dioro Exploration NL,766,19/09/1994
M 15/723,Dioro Exploration NL,359,19/09/1994
M 15/724,Dioro Exploration NL,212.7,10/02/1995
M 15/726,Dioro Exploration NL,840.25,21/09/1994
M 15/740,Dioro Exploration NL,866.3,21/11/1994
M 15/747,Dioro Exploration NL,476.45,21/12/1994
M 15/753,Dioro Exploration NL,850,31/01/1995
M 15/937,Dioro Exploration NL,835.65,7/05/2003
M 15/938,Dioro Exploration NL,996.5,8/05/2003
M 26/118,HBJ Minerals Pty Ltd,379.8,16/12/1986
M 26/132,HBJ Minerals Pty Ltd,65.505,17/03/1987
M 26/143,HBJ Minerals Pty Ltd,1000,7/08/1987
M 26/204,Dioro Exploration NL,956.6,22/04/1988
M 26/224,HBJ Minerals Pty Ltd,40.55,31/05/1988
M 26/245,Dioro Exploration NL,240,29/03/1989
M 26/328,Dioro Exploration NL,127.1,14/05/1991
M 26/441,Dioro Exploration NL,237.543,21/09/1994
M 26/452,Dioro Exploration NL,404,14/12/1994
M 26/458,Dioro Exploration NL,560.45,21/08/1996
M 26/464,Franco-Nevada Australia Pty Ltd,947.00,01/09/1995
M 26/482,Dioro Exploration NL,783,21/08/1996
M 26/493,HBJ Minerals Pty Ltd,9.71,21/08/1996
M 26/567,Dioro Exploration NL,491.65,7/05/2003
M 26/782,HBJ Minerals Pty Ltd,506.9,24/11/2006
P15/5049,Dioro Exploration NL,196.7,31/12/2009
P15/5050,Dioro Exploration NL,121.0,31/12/2009
P 15/5051,Dioro Exploration NL,106,28/10/2008
P 15/5130,Dioro Exploration NL,74.77,22/07/2009
P 15/5131,Dioro Exploration NL,28.72,22/07/2009
P 15/5132,Dioro Exploration NL,20.11,22/07/2009
P 26/3347,HBJ Minerals Pty Ltd,126.53,22/05/2008
P 26/3348,HBJ Minerals Pty Ltd,149.28,22/05/2008
P 26/3349,HBJ Minerals Pty Ltd,137.49,22/05/2008
P 26/3499,Dioro Exploration NL,196,28/10/2008
P 26/3500,Dioro Exploration NL,44.98,2/07/2009
P 26/3527,HBJ Minerals Pty Ltd,171.83,10/10/2008
P 26/3528,HBJ Minerals Pty Ltd,133.86,10/10/2008
P 26/3529,Dioro Exploration NL,156.25,2/07/2009
P 26/3530,Dioro Exploration NL,174.45,2/07/2009
