Tenement,"Grant
Date","Expiry
Date",Holder,"Expenditure
($)","Area Size
(KM2)","Area Size
(BLK)"
E 15/985,02/07/2009,01/07/2019,DIORO EXPLORATION PTY LTD,70000,64.4,23
E 15/1211,07/02/2011,06/02/2021,DIORO EXPLORATION PTY LTD,50000,28,10
E 26/122,31/01/2008,30/01/2018,HBJ MINERALS PTY LTD,70000,28,10
M 15/456,31/07/1990,02/08/2032,DIORO EXPLORATION PTY LTD,43400,4.33,0
M 15/469,21/11/1989,27/11/2031,DIORO EXPLORATION PTY LTD,90100,9.01,0
M 15/533,06/09/1990,20/09/2032,DIORO EXPLORATION PTY LTD,10000,0.5,0
M 15/663,03/06/1993,07/06/2035,DIORO EXPLORATION PTY LTD,57300,5.73,0
M 15/724,09/02/1995,09/02/2037,"SOUTH KAL MINES PTY LTD ,DIORO
EXPLORATION PTY LTD",21300,2.13,0
M 15/726,19/09/1994,20/09/2036,DIORO EXPLORATION PTY LTD,84100,8.4,0
M 15/740,14/11/1994,20/11/2036,DIORO EXPLORATION PTY LTD,86700,8.66,0
M 15/753,30/01/1995,30/01/2037,DIORO EXPLORATION PTY LTD,85700,8.57,0
M 15/937,06/05/2003,06/05/2024,DIORO EXPLORATION PTY LTD,83600,8.36,0
M 15/938,06/05/2003,07/05/2024,DIORO EXPLORATION PTY LTD,99700,9.97,0
M 26/118,14/12/1986,15/12/2028,HBJ MINERALS PTY LTD,38000,3.8,0
M 26/132,10/03/1987,16/03/2029,HBJ MINERALS PTY LTD,10000,0.66,0
M 26/143,04/08/1987,06/08/2029,HBJ MINERALS PTY LTD,100000,10,0
M 26/204,19/04/1988,21/04/2030,DIORO EXPLORATION PTY LTD,95700,9.57,0
M 26/224,25/05/1988,30/05/2030,HBJ MINERALS PTY LTD,10000,0.41,0
M 26/245,07/03/1989,28/03/2031,DIORO EXPLORATION PTY LTD,24000,2.39,0
M 26/328,08/05/1991,13/05/2033,DIORO EXPLORATION PTY LTD,12800,1.27,0
M 26/452,14/12/1994,13/12/2036,DIORO EXPLORATION PTY LTD,40000,3.99,0
M 26/458,20/08/1996,20/08/2017,DIORO EXPLORATION PTY LTD,56100,5.6,0
M 26/482,20/08/1996,20/08/2017,DIORO EXPLORATION PTY LTD,76300,7.62,0
M 26/567,06/05/2003,06/05/2024,DIORO EXPLORATION PTY LTD,49200,4.92,0
M 26/782,19/11/2006,23/11/2027,HBJ MINERALS PTY LTD,50700,5.07,0
P 15/5049,31/12/2009,30/12/2017,DIORO EXPLORATION PTY LTD,7880,1.97,0
P 15/5050,31/12/2009,30/12/2017,DIORO EXPLORATION PTY LTD,4840,1.21,0
P 15/5130,22/07/2009,21/07/2017,DIORO EXPLORATION PTY LTD,3000,0.75,0
P 15/5131,22/07/2009,21/07/2017,DIORO EXPLORATION PTY LTD,2000,0.29,0
P 15/5132,22/07/2009,21/07/2017,DIORO EXPLORATION PTY LTD,2000,0.2,0
P 26/3500,02/07/2009,01/07/2017,DIORO EXPLORATION PTY LTD,2000,0.45,0
P 26/3529,02/07/2009,01/07/2017,DIORO EXPLORATION PTY LTD,6280,1.56,0
P 26/3531,02/07/2009,01/07/2017,DIORO EXPLORATION PTY LTD,7880,1.96,0
P 26/3532,02/07/2009,01/07/2017,DIORO EXPLORATION PTY LTD,4520,1.12,0
P 26/3533,02/07/2009,01/07/2017,DIORO EXPLORATION PTY LTD,7920,1.98,0
P 26/4019,28/05/2015,27/05/2019,HBJ MINERALS PTY LTD,5280,1.32,0
E 26/139,30/11/2010,29/11/2020,HBJ MINERALS PTY LTD,30000,14,5
E 26/148,17/05/2011,16/05/2016,HBJ MINERALS PTY LTD,,11.2,4
