Index,Report_Anum,Page,Table Detected (Model),Table Accumulated,Table Detected (Human)
1,108156,1,0,0,0
1,108156,2,1,1,0
1,108156,3,0,1,0
1,108156,4,0,1,0
1,108156,5,0,1,0
1,108156,6,0,1,0
1,108156,7,1,2,1
1,108156,8,1,3,1
1,108156,9,0,3,0
1,108156,10,0,3,0
1,108156,11,0,3,0
1,108156,12,0,3,0
1,108156,13,0,3,0
1,108156,14,1,4,1
1,108156,15,0,4,1
1,108156,16,1,5,0
1,108156,17,1,6,0
1,108156,18,0,6,0
1,108156,19,0,6,0
1,108156,20,0,6,0
2,108325,1,0,0,0
2,108325,2,0,0,0
2,108325,3,0,0,0
2,108325,4,1,1,2
2,108325,5,0,1,0
2,108325,6,0,1,0
2,108325,7,0,1,0
2,108325,8,1,2,1
2,108325,9,1,3,1
2,108325,10,0,3,0
2,108325,11,0,3,0
2,108325,12,0,3,0
2,108325,13,1,4,0
2,108325,14,1,5,1
2,108325,15,1,6,1
2,108325,16,1,7,0
2,108325,17,0,7,0
2,108325,18,1,8,0
2,108325,19,0,8,0
3,108425,1,0,0,0
3,108425,2,0,0,0
3,108425,3,0,0,0
3,108425,4,0,0,0
3,108425,5,0,0,0
3,108425,6,0,0,0
3,108425,7,0,0,0
3,108425,8,0,0,0
3,108425,9,1,1,1
3,108425,10,0,1,0
3,108425,11,0,1,0
3,108425,12,0,1,0
3,108425,13,0,1,0
3,108425,14,1,2,1
3,108425,15,1,3,1
3,108425,16,1,4,1
3,108425,17,1,5,1
3,108425,18,0,5,0
3,108425,19,1,6,1
3,108425,20,0,6,0
3,108425,21,0,6,0
3,108425,22,1,7,22
3,108425,23,0,7,0
3,108425,24,0,7,0
3,108425,25,0,7,0
3,108425,26,0,7,0
3,108425,27,0,7,0
3,108425,28,0,7,0
4,109199,1,0,0,0
4,109199,2,1,1,0
4,109199,3,0,1,0
4,109199,4,0,1,2
4,109199,5,0,1,0
4,109199,6,0,1,0
4,109199,7,0,1,0
4,109199,8,0,1,0
4,109199,9,1,2,1
4,109199,10,0,2,0
4,109199,11,0,2,0
4,109199,12,0,2,0
4,109199,13,0,2,0
4,109199,14,0,2,0
4,109199,15,1,3,0
4,109199,16,0,3,0
4,109199,17,0,3,0
4,109199,18,0,3,0
4,109199,19,1,4,2
4,109199,20,2,6,2
4,109199,21,1,7,1
4,109199,22,0,7,0
4,109199,23,1,8,0
4,109199,24,0,8,0
4,109199,25,0,8,0
5,109200,1,0,0,0
5,109200,2,0,0,0
5,109200,3,0,0,0
5,109200,4,0,0,2
5,109200,5,1,1,0
5,109200,6,1,2,0
5,109200,7,1,3,1
5,109200,8,0,3,0
5,109200,9,0,3,0
5,109200,10,0,3,0
5,109200,11,0,3,0
5,109200,12,0,3,0
5,109200,13,1,4,0
5,109200,14,0,4,0
5,109200,15,0,4,0
5,109200,16,2,6,3
